Year,Average Min Temp,Average Max Temp,Average Rainfall
1901,22.0175,32.16833333,95.99166667
1902,22.25666667,32.0475,84.53333333
1903,22.18333333,32.33666667,81.02666667
1904,22.37416667,32.14416667,91.20916667
1905,21.87166667,32.085,99.165
1906,22.14916667,32.62083333,87.49916667
1907,21.96166667,32.30916667,99.25666667
1908,22.065,32.335,110.8766667
1909,21.62833333,32.55666667,116.3891667
1910,21.95083333,32.62833333,101.3066667
1911,21.90333333,32.1225,84.09
1912,22.47583333,32.12166667,94.63666667
1913,22.54916667,32.34333333,88.87666667
1914,22.47,32.75666667,98.99583333
1915,22.14166667,31.91583333,110.0775
1916,21.67916667,32.045,126.6316667
1917,21.64583333,32.22833333,103.41
1918,21.77916667,31.98333333,87.52833333
1919,22.07416667,32.45083333,83.3075
1920,22.10416667,32.52166667,108.565
1921,22.01583333,32.5,95.09666667
1922,21.9625,32.25416667,95.8425
1923,21.6875,32.16833333,97.96916667
1924,21.82,32.5975,109.6333333
1925,21.48666667,31.99833333,95.3
1926,21.89,32.46333333,97.93833333
1927,20.95166667,31.86333333,99.39
1928,21.06166667,31.86416667,112.9525
1929,20.82166667,31.91916667,104.1741667
1930,21.63583333,32.41333333,108.4875
1931,22.15083333,32.85416667,96.29416667
1932,21.96583333,32.8875,114.3683333
1933,21.9675,32.83333333,108.9616667
1934,22.09416667,33.05083333,107.8308333
1935,21.9225,33.3325,95.23416667
1936,21.78666667,32.545,92.46166667
1937,22.73333333,33.86166667,99.53333333
1938,23.35333333,33.59916667,102.7075
1939,22.725,33.00666667,98.59
1940,22.0925,32.60666667,107.6666667
1941,22.6225,33.0125,96.72916667
1942,22.30333333,32.805,104.6758333
1943,22.06333333,32.25416667,102.0375
1944,22.2925,32.86083333,95.96
1945,22.05,32.51833333,85.88083333
1946,21.97666667,32.2375,112.9633333
1947,22.38416667,32.5725,90.80583333
1948,21.90333333,32.10583333,107.8458333
1949,22.49583333,32.59833333,83.0875
1950,21.81166667,32.07833333,114.405
1951,22.24833333,32.75166667,111.4358333
1952,21.99833333,32.65166667,99.10333333
1953,21.985,32.44916667,104.39
1954,21.745,32.11833333,114.2466667
1955,21.66916667,32.0175,95.92583333
1956,21.65916667,32.10083333,119.2191667
1957,21.8525,32.29083333,83.86916667
1958,22.08333333,32.47166667,103.99
1959,22.03833333,32.49166667,110.9775
1960,21.9,32.34833333,89.9175
1961,21.795,32.23833333,117.3116667
1962,21.94916667,32.07,134.8175
1963,22.20583333,32.445,98.26416667
1964,21.88,31.94,104.8916667
1965,21.91666667,32.15,101.195
1966,22.20416667,32.51,94.09416667
1967,21.95416667,32.0675,143.555
1968,22.24416667,32.26083333,100.6575
1969,22.5325,32.585,89.61166667
1970,22.31666667,32.52166667,102.1566667
1971,21.52166667,31.7525,94.83583333
1972,21.8875,31.9625,95.68
1973,22.145,32.66416667,102.8975
1974,21.58083333,31.8375,98.08666667
1975,21.38583333,31.77583333,92.97416667
1976,21.51166667,31.52,79.59083333
1977,22.11666667,32.27083333,95.24583333
1978,21.98,31.84916667,114.5316667
1979,22.2875,32.13833333,100.6191667
1980,22.225,31.99083333,93.15666667
1981,22.40416667,32.65416667,88.62916667
1982,22.30916667,32.29583333,68.9175
1983,22.69,32.93666667,101.94
1984,22.57416667,32.795,99.9725
1985,22.48166667,32.56,89.595
1986,22.28583333,32.5075,100.1241667
1987,22.72916667,32.9475,95.93083333
1988,22.31583333,32.37083333,108.4508333
1989,21.82583333,32.26,84.76916667
1990,22.30833333,32.53083333,107.0433333
1991,22.51166667,32.0125,77.21083333
1992,22.22,31.99833333,89.14333333
1993,22.28916667,32.28416667,92.68416667
1994,22.4775,32.01,97.6975
1995,22.38,32.59416667,99.86
1996,22.435,32.41916667,99.38916667
1997,22.46416667,32.42833333,83.9225
1998,22.98416667,33.03916667,106.03
1999,22.3925,32.3675,89.96
2000,22.365,32.7125,89.2125
2001,22.46333333,32.79083333,97.9425
2002,22.63666667,32.79416667,102.94
2003,22.71333333,32.79583333,94.28833333
2004,22.76416667,32.51166667,92.6925
2005,23.05833333,32.80416667,93.7375
2006,22.80166667,32.78583333,106.5933333
2007,22.70416667,32.87416667,110.0733333
2008,22.385,32.57416667,101.4091667
2009,22.8425,32.7775,107.3416667
2010,23.135,33.1125,96.77833333
2011,22.7825,32.8525,100.7808333
2012,22.6425,32.50416667,88.765
2013,22.71833333,32.78583333,100.2
2014,23.00416667,32.7475,88.63666667
2015,22.93,33.07333333,96.59666667
2016,23.30916667,33.19166667,91.49
2017,23.01583333,33.1625,105.7241667
2018,23.10583333,32.89583333,116.5475
2019,22.8025,32.8925,99.3675
2020,23.13333333,33.16083333,
